วันที่ทำการทดลอง,ระยะที่ทำการวัด ( cm ),A1,A2,A3,Avg,Error,Unnamed: 7
,300,356,370,345,357.0,-57.0,
5/10/2025,500,551,556,567,558.0,-58.0,
,500,552,562,570,561.3333333,-61.33333333,
,500,550,571,573,564.6666667,-64.66666667,
,500,551,588,565,568.0,-68.0,
,500,549,580,572,567.0,-67.0,
,500,548,590,549,562.3333333,-62.33333333,
,500,547,604,550,567.0,-67.0,
,500,549,607,553,569.6666667,-69.66666667,
,500,550,611,551,570.6666667,-70.66666667,
,500,549,658,549,585.3333333,-85.33333333,
,500,548,745,586,626.3333333,-126.3333333,
,500,550,772,594,638.6666667,-138.6666667,
,500,546,756,586,629.3333333,-129.3333333,
,500,549,735,550,611.3333333,-111.3333333,
,500,551,723,551,608.3333333,-108.3333333,
,500,548,721,565,611.3333333,-111.3333333,
,500,552,704,559,605.0,-105.0,
,500,551,727,549,609.0,-109.0,
,500,552,702,547,600.3333333,-100.3333333,
,500,550,713,550,604.3333333,-104.3333333,
5/10/2025,700,765,776,547,696.0,4.0,
,700,775,787,548,703.3333333,-3.333333333,
,700,780,818,548,183715.3333,-183015.3333,
,700,781,843,550,724.6666667,-24.66666667,
,700,765,852,546,721.0,-21.0,
,700,766,842,547,718.3333333,-18.33333333,
,700,769,752,545,688.6666667,11.33333333,
,700,764,780,770,771.3333333,-71.33333333,
,700,765,724,765,751.3333333,-51.33333333,
,700,761,715,783,753.0,-53.0,
,700,771,759,782,770.6666667,-70.66666667,
,700,751,801,782,778.0,-78.0,
,700,759,785,823,789.0,-89.0,
,700,764,804,817,795.0,-95.0, 
,700,762,790,800,784.0,-84.0,
,700,760,822,788,790.0,-90.0,
,700,749,829,719,765.6666667,-65.66666667,
,700,776,817,841,811.3333333,-111.3333333,
,700,754,830,860,814.6666667,-114.6666667,
,700,749,840,819,802.6666667,-102.6666667,
5/10/2025,1000,1056,1426,1368,1283.333333,-283.3333333,
,1000,1057,1428,1383,1289.333333,-289.3333333,
,1000,1105,1431,1364,1300.0,-300.0,
,1000,1078,1435,1363,1292.0,-292.0,
,1000,1097,1431,1360,1296.0,-296.0,
,1000,1101,1432,1349,1294.0,-294.0,
,1000,1092,1425,1365,1294.0,-294.0,
,1000,1078,1429,1322,1276.333333,-276.3333333,
,1000,1105,1433,1358,1298.666667,-298.6666667,
,1000,1125,1427,1360,1304.0,-304.0,
,1000,1073,1420,1321,1271.333333,-271.3333333,
,1000,1064,1425,1341,1276.666667,-276.6666667,
,1000,1063,1423,1314,1266.666667,-266.6666667,
,1000,1073,1420,1321,1271.333333,-271.3333333,
,1000,1079,1435,1378,1297.333333,-297.3333333,
,1000,1064,1440,1378,1294.0,-294.0,
,1000,1098,1445,1378,1307.0,-307.0,
,1000,1078,1444,1422,1314.666667,-314.6666667,
,1000,1085,1448,1398,1310.333333,-310.3333333,
,1000,1148,1449,1396,1331.0,-331.0,
5/10/2025,2000,2187,2117,2243,2182.333333,-182.3333333,
,2000,2189,2108,2243,2180.0,-180.0,
,2000,2186,2083,2136,2135.0,-135.0,
,2000,2186,2083,2136,2135.0,-135.0,
,2000,2187,2083,2136,2135.333333,-135.3333333,
,2000,2190,2083,2136,2136.333333,-136.3333333,
,2000,2191,2083,2136,2136.666667,-136.6666667,
,2000,2190,2083,2136,2136.333333,-136.3333333,
,2000,2190,2083,2136,2136.333333,-136.3333333,
,2000,2189,2083,2136,2136.0,-136.0,
,2000,2190,2083,2136,2136.333333,-136.3333333,
